25
200
15,3,13,1
17,5,13,4
19,2,18,6
17,1,17,5
13,11,3,5
16,12,5,5
11,4,8,1
16,14,3,1
13,11,3,3
18,6,13,5
19,3,17,6
18,14,5,5
13,11,3,1
20,14,7,3
17,3,15,4
19,1,19,5
15,12,4,5
16,2,15,4
20,7,14,6
15,9,7,3
17,12,6,4
17,3,15,3
13,6,8,4
12,7,6,2
11,6,6,2
18,1,18,5
16,2,15,2
20,5,16,4
13,9,5,5
15,1,15,5
13,13,1,4
16,1,16,5
12,8,5,3
20,9,12,5
18,16,3,6
20,18,3,3
17,13,5,4
20,10,11,6
17,17,1,2
15,8,8,3
17,12,6,3
18,11,8,2
16,1,16,2
11,1,11,2
13,1,13,4
19,17,3,3
14,4,11,4
20,14,7,1
13,4,10,6
19,7,13,4
18,16,3,1
14,7,8,3
14,7,8,6
18,9,10,4
12,1,12,2
15,12,4,6
13,3,11,4
18,3,16,5
13,7,7,5
19,10,10,2
19,9,11,5
14,1,14,4
17,11,7,6
12,6,7,2
13,2,12,5
19,5,15,3
14,9,6,1
13,11,3,5
20,18,3,4
12,1,12,6
12,2,11,6
17,2,16,6
12,6,7,5
18,12,7,5
12,4,9,5
19,9,11,6
20,2,19,5
11,10,2,5
18,2,17,6
19,5,15,5
15,15,1,5
12,8,5,4
19,7,13,5
16,8,9,6
19,4,16,1
15,8,8,3
13,6,8,4
13,2,12,5
20,11,10,3
14,8,7,4
14,6,9,4
12,11,2,3
12,12,1,2
17,17,1,5
18,8,11,2
14,5,10,4
19,3,17,5
17,14,4,5
12,2,11,5
13,8,6,3
20,12,9,2
19,18,2,2
19,14,6,1
20,9,12,6
17,1,17,4
18,15,4,3
14,10,5,2
16,3,14,2
17,4,14,3
11,8,4,6
15,4,12,1
18,2,17,3
12,6,7,3
16,4,13,4
19,15,5,4
15,13,3,4
11,7,5,5
17,11,7,5
19,15,5,3
15,11,5,3
15,6,10,6
17,11,7,1
13,12,2,4
20,1,20,4
18,14,5,6
15,14,2,2
11,3,9,4
11,8,4,2
17,8,10,4
19,6,14,6
19,12,8,6
14,3,12,5
19,8,12,3
15,7,9,6
15,4,12,5
12,6,7,3
20,13,8,6
17,6,12,4
13,2,12,4
20,4,17,6
15,1,15,4
19,17,3,2
11,4,8,2
14,6,9,2
12,2,11,6
20,14,7,1
16,9,8,4
17,15,3,5
14,11,4,3
14,14,1,3
18,10,9,1
17,5,13,4
18,8,11,1
12,6,7,3
20,9,12,2
18,16,3,3
20,6,15,4
18,3,16,2
16,12,5,1
16,2,15,5
12,10,3,1
11,3,9,6
18,16,3,3
12,11,2,4
11,5,7,4
12,10,3,1
12,4,9,6
16,4,13,3
15,8,8,1
16,16,1,4
18,1,18,6
16,4,13,4
16,4,13,4
16,9,8,4
11,2,10,2
13,9,5,2
14,5,10,2
17,17,1,4
17,1,17,2
19,8,12,3
15,2,14,5
11,11,1,5
12,8,5,2
18,4,15,3
19,13,7,4
17,13,5,5
18,10,9,5
15,11,5,1
13,5,9,3
15,12,4,2
11,1,11,1
16,4,13,3
13,2,12,4
12,10,3,2
19,10,10,6
15,13,3,5
17,15,3,5
17,1,17,1
12,1,12,5
12,10,3,6
250
13,1,13,1
12,2,11,2
19,16,4,6
11,10,2,4
13,4,10,3
15,1,15,2
13,12,2,6
18,9,10,6
17,14,4,4
19,15,5,4
14,14,1,6
15,1,15,2
18,7,12,4
15,9,7,4
13,5,9,6
20,4,17,2
19,14,6,6
15,5,11,6
15,14,2,6
15,5,11,1
12,2,11,5
13,11,3,4
11,1,11,1
11,2,10,6
15,15,1,2
12,5,8,6
12,8,5,6
19,16,4,4
18,16,3,4
11,3,9,6
20,3,18,2
19,9,11,5
12,8,5,5
18,15,4,4
13,1,13,2
17,14,4,5
14,10,5,6
13,2,12,3
11,2,10,4
18,8,11,3
16,2,15,6
12,11,2,1
19,3,17,3
14,5,10,6
14,11,4,6
17,4,14,3
18,17,2,6
12,9,4,6
18,14,5,4
20,6,15,2
15,13,3,3
18,11,8,2
11,3,9,2
13,4,10,4
13,11,3,1
19,13,7,1
11,5,7,1
19,11,9,2
11,8,4,6
12,3,10,1
14,10,5,5
19,2,18,6
12,4,9,4
11,3,9,2
18,15,4,2
17,9,9,3
20,5,16,1
13,2,12,4
17,7,11,4
14,2,13,5
11,9,3,6
15,7,9,4
15,14,2,2
16,2,15,5
11,10,2,2
16,8,9,5
16,13,4,6
18,17,2,2
14,8,7,3
12,4,9,3
13,7,7,4
16,14,3,3
15,10,6,4
12,8,5,5
18,8,11,4
17,4,14,5
16,7,10,1
17,16,2,6
17,4,14,2
18,16,3,2
17,16,2,4
19,3,17,2
19,10,10,3
11,2,10,5
17,10,8,5
19,2,18,5
18,2,17,4
19,17,3,1
13,3,11,2
20,8,13,4
16,12,5,3
19,11,9,2
14,3,12,2
11,3,9,4
17,3,15,4
15,5,11,6
17,3,15,2
16,11,6,5
14,2,13,4
19,3,17,3
15,8,8,5
13,8,6,1
18,14,5,5
20,2,19,3
15,6,10,6
19,16,4,6
12,2,11,2
18,17,2,5
19,3,17,3
16,2,15,4
20,20,1,1
19,17,3,2
